Minister of Defence,Office of the Chief of Defence Staff
Minister of Defence,Sri Lanka Army
Minister of Defence,Sri Lanka Navy
Minister of Defence,Sri Lanka Air Force
Minister of Defence,State Intelligence Service
Minister of Defence,Civil Security Department
Minister of Defence,National Cadet Corps
Minister of Defence,National Authority for the Implementation of Chemical Weapons Convention
Minister of Defence,Sir John Kotelawala Defence University
Minister of Defence,Defence Services Command and Staff College
Minister of Defence,Miloda Institute -as a Faculty of Kotelawala Defence University
Minister of Defence,Defence Services College
Minister of Defence,Defence Research and Development Centre
Minister of Defence,Institute of National Security Studies
Minister of Defence,National Defence College
Minister of Defence,Rakna Arakshana Lanka Ltd.
Minister of Defence,Coast Guard Department of Sri Lanka
Minister of Defence,National Defence Fund
Minister of Defence,Ranaviru Seva Authority
Minister of Defence,Api Wenuwen Api Fund
Minister of Defence,Department of Meteorology
Minister of Defence,National Disaster Management Council
Minister of Defence,Disaster Management Centre
Minister of Defence,National Disaster Relief Services Centre
Minister of Defence,National Building Research Organization
Minister of Defence,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of National Planning
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of External Resources
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",General Treasury
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Fiscal Policy
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of National Budget
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Management Services
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Public Finance
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Treasury Operations
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of State Accounts
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Trade and Investment Policy
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Legal Affairs
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Management Audit
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Development Finance
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Public Enterprises
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Office of Comptroller General
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Project Management and Monitoring
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Information Technology Management
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Inland Revenue
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Sri Lanka Customs
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Excise
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",State Resources Management Corporation
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",National Lotteries Board
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Development Lotteries Board
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Valuation
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Department of Import and Export Control
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Central Bank of Sri Lanka
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism","All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions"
"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",Insurance Regulatory Commission of Sri Lanka
